trial_id,inner_optimizer.lr,inner_optimizer.clipping.upper,inner_optimizer.warmup_steps,val_loss_best,val_loss_best_step,val_loss_final,val_loss_final_step,best_val_loss,best_step
trial_0003,0.005,0.5,200,19.436236245291575,475,19.436236245291575,475,19.436236245291575,475
trial_0001,0.005,0.5,50,18.053984233311244,475,18.053984233311244,475,18.053984233311244,475
trial_0002,0.005,0.5,100,18.197138377598353,475,18.197138377598353,475,18.197138377598353,475
trial_0000,0.005,0.5,20,16.87646348135812,475,16.87646348135812,475,16.87646348135812,475
trial_0004,0.005,0.5,500,19.542032650538854,475,19.542032650538854,475,19.542032650538854,475
trial_0006,0.005,1.0,50,13.710290908813477,475,13.710290908813477,475,13.710290908813477,475
trial_0007,0.005,1.0,100,14.239883422851562,475,14.239883422851562,475,14.239883422851562,475
trial_0005,0.005,1.0,20,13.384905815124512,475,13.384905815124512,475,13.384905815124512,475
trial_0008,0.005,1.0,200,15.269697189331055,475,15.269697189331055,475,15.269697189331055,475
trial_0010,0.005,5.0,20,5.801897968564715,225,5.944228410720825,475,5.801897968564715,225
trial_0011,0.005,5.0,50,5.894695690699986,275,5.950441479682922,475,5.894695690699986,275
trial_0009,0.005,1.0,500,17.97585609980992,475,17.97585609980992,475,17.97585609980992,475
trial_0013,0.005,5.0,200,5.883840594972883,325,5.9610646452222555,475,5.883840594972883,325
trial_0012,0.005,5.0,100,5.86612480027335,275,5.9510935715266635,475,5.86612480027335,275
trial_0014,0.005,5.0,500,5.931315456117902,475,5.931315456117902,475,5.931315456117902,475
trial_0015,0.005,10.0,20,5.89250043460301,150,6.009023904800415,475,5.89250043460301,150
trial_0018,0.005,10.0,200,5.810406957353864,225,6.029622691018241,475,5.810406957353864,225
trial_0017,0.005,10.0,100,5.89429327419826,200,5.98802171434675,475,5.89429327419826,200
trial_0016,0.005,10.0,50,5.906373160226004,150,6.0030108860560825,475,5.906373160226004,150
trial_0019,0.005,10.0,500,5.920896342822483,450,6.025447879518781,475,5.920896342822483,450
trial_0020,0.01,0.5,20,13.384905815124512,475,13.384905815124512,475,13.384905815124512,475
trial_0021,0.01,0.5,50,13.710290908813477,475,13.710290908813477,475,13.710290908813477,475
trial_0022,0.01,0.5,100,14.239883422851562,475,14.239883422851562,475,14.239883422851562,475
trial_0023,0.01,0.5,200,15.269697189331055,475,15.269697189331055,475,15.269697189331055,475
trial_0024,0.01,0.5,500,17.97585609980992,475,17.97585609980992,475,17.97585609980992,475
trial_0026,0.01,1.0,50,6.472077301570347,475,6.472077301570347,475,6.472077301570347,475
trial_0025,0.01,1.0,20,6.291969094957624,475,6.291969094957624,475,6.291969094957624,475
trial_0027,0.01,1.0,100,6.859528984342303,475,6.859528984342303,475,6.859528984342303,475
trial_0028,0.01,1.0,200,8.036801406315394,475,8.036801406315394,475,8.036801406315394,475
trial_0029,0.01,1.0,500,13.737026759556361,475,13.737026759556361,475,13.737026759556361,475
trial_0030,0.01,5.0,20,5.860011492456708,275,5.963468074798584,475,5.860011492456708,275
trial_0031,0.01,5.0,50,5.854589223861694,450,5.959680710520063,475,5.854589223861694,450
trial_0032,0.01,5.0,100,5.850741301264081,450,5.944279994283404,475,5.850741301264081,450
trial_0033,0.01,5.0,200,5.834468466894967,225,5.951093588556562,475,5.834468466894967,225
trial_0034,0.01,5.0,500,5.870899421828134,450,5.9829064437321255,475,5.870899421828134,450
trial_0035,0.01,10.0,20,5.865577220916748,275,6.18963428906032,475,5.865577220916748,275
trial_0036,0.01,10.0,50,5.863888263702393,275,6.124579889433725,475,5.863888263702393,275
trial_0037,0.01,10.0,100,5.85351266179766,275,6.1167228903089255,475,5.85351266179766,275
trial_0038,0.01,10.0,200,5.802891390664237,275,6.085566605840411,475,5.802891390664237,275
trial_0039,0.01,10.0,500,5.867201788084848,450,6.095373238836016,475,5.867201788084848,450
trial_0040,0.05,0.5,20,5.799620594297137,225,5.945293188095093,475,5.799620594297137,225
trial_0041,0.05,0.5,50,5.8962311063494,275,5.948325054986136,475,5.8962311063494,275
trial_0042,0.05,0.5,100,5.8647148949759345,275,5.949296082769122,475,5.8647148949759345,275
trial_0043,0.05,0.5,200,5.884091854095459,325,5.9576665333339145,475,5.884091854095459,325
trial_0044,0.05,0.5,500,5.92862776347569,475,5.92862776347569,475,5.92862776347569,475
trial_0045,0.05,1.0,20,5.851881912776402,275,5.975978442600796,475,5.851881912776402,275
trial_0046,0.05,1.0,50,5.852448412350246,450,5.95695550101144,475,5.852448412350246,450
trial_0047,0.05,1.0,100,5.849157129015241,450,5.939875602722168,475,5.849157129015241,450
trial_0048,0.05,1.0,200,5.829344170434134,225,5.945415019989014,475,5.829344170434134,225
trial_0049,0.05,1.0,500,5.871902397700718,450,5.9816522768565585,475,5.871902397700718,450
trial_0050,0.05,5.0,20,5.8350562027522495,275,6.465792315346854,475,5.8350562027522495,275
trial_0051,0.05,5.0,50,5.934384022440229,275,6.440046855381557,475,5.934384022440229,275
trial_0053,0.05,5.0,200,5.763746227536883,275,6.443069900785174,475,5.763746227536883,275
trial_0052,0.05,5.0,100,5.859097787312099,275,6.443166358130319,475,5.859097787312099,275
trial_0054,0.05,5.0,500,5.831709708486285,275,6.470020907265799,475,5.831709708486285,275
trial_0055,0.05,10.0,20,5.831039769308908,275,7.5165508815220425,475,5.831039769308908,275
