trial_id,inner_optimizer.lr,inner_optimizer.clipping.quantile_level,inner_optimizer.clipping.quantile_lr,val_loss_best,val_loss_best_step,val_loss_final,val_loss_final_step,best_val_loss,best_step
trial_0001,0.001,0.7,0.01,17.935386657714844,475,17.935386657714844,475,17.935386657714844,475
trial_0003,0.001,0.8,0.001,19.50955091203962,475,19.50955091203962,475,19.50955091203962,475
trial_0002,0.001,0.7,0.1,9.930893421173096,475,9.930893421173096,475,9.930893421173096,475
trial_0000,0.001,0.7,0.001,19.591703142438615,475,19.591703142438615,475,19.591703142438615,475
trial_0004,0.001,0.8,0.01,17.144375528608048,475,17.144375528608048,475,17.144375528608048,475
trial_0005,0.001,0.8,0.1,7.749152183532715,475,7.749152183532715,475,7.749152183532715,475
trial_0007,0.001,0.9,0.01,16.74618012564523,475,16.74618012564523,475,16.74618012564523,475
trial_0006,0.001,0.9,0.001,19.50936222076416,475,19.50936222076416,475,19.50936222076416,475
trial_0008,0.001,0.9,0.1,7.496169771466937,475,7.496169771466937,475,7.496169771466937,475
trial_0010,0.001,0.95,0.01,16.54390103476388,475,16.54390103476388,475,16.54390103476388,475
trial_0011,0.001,0.95,0.1,7.38856874193464,475,7.38856874193464,475,7.38856874193464,475
trial_0009,0.001,0.95,0.001,19.495418003627233,475,19.495418003627233,475,19.495418003627233,475
trial_0012,0.001,0.99,0.001,19.4841947555542,475,19.4841947555542,475,19.4841947555542,475
trial_0013,0.001,0.99,0.01,16.37804957798549,475,16.37804957798549,475,16.37804957798549,475
trial_0015,0.005,0.7,0.001,11.548873492649623,475,11.548873492649623,475,11.548873492649623,475
trial_0014,0.001,0.99,0.1,7.332077435084751,475,7.332077435084751,475,7.332077435084751,475
trial_0017,0.005,0.7,0.1,5.888841560908726,200,6.00409596306937,475,5.888841560908726,200
trial_0016,0.005,0.7,0.01,5.874304805483137,450,5.916860035487583,475,5.874304805483137,450
trial_0018,0.005,0.8,0.001,11.319461005074638,475,11.319461005074638,475,11.319461005074638,475
trial_0019,0.005,0.8,0.01,5.888864925929478,450,5.9386633804866245,475,5.888864925929478,450
trial_0021,0.005,0.9,0.001,11.088706016540527,475,11.088706016540527,475,11.088706016540527,475
trial_0020,0.005,0.8,0.1,5.89728936127254,200,6.025373458862305,475,5.89728936127254,200
trial_0022,0.005,0.9,0.01,5.905281850269863,450,5.949119533811297,475,5.905281850269863,450
trial_0023,0.005,0.9,0.1,5.912603037697928,200,6.044346928596497,475,5.912603037697928,200
trial_0024,0.005,0.95,0.001,10.975828647613525,475,10.975828647613525,475,10.975828647613525,475
trial_0025,0.005,0.95,0.01,5.883355447224209,375,5.9528186321258545,475,5.883355447224209,375
trial_0026,0.005,0.95,0.1,5.9169816970825195,200,6.07339300428118,475,5.9169816970825195,200
trial_0027,0.005,0.99,0.001,10.885434355054583,475,10.885434355054583,475,10.885434355054583,475
trial_0028,0.005,0.99,0.01,5.875087601797921,375,5.954792056764875,475,5.875087601797921,375
trial_0029,0.005,0.99,0.1,5.9130595070975165,150,6.063757453645978,475,5.9130595070975165,150
